subject,li_imagined,li_executed
1,0.14700508,0.0754146069375814
2,0.23232841,0.19571740742064847
3,-0.06720543,-0.024138214252111823
4,0.17239952,0.18594219938702494
5,0.12324333,0.09901693249516086
6,-0.031650543,0.09660259548504868
7,0.39846992,0.3412427295025289
8,0.024450302,-0.03517532527880718
9,0.009426117,0.006002405440884928
10,0.057516098,0.17478431839350606
11,0.040023804,0.07235898958393605
12,0.18727303,0.06637459235109588
13,0.210495,0.2396372262660762
14,-0.014320374,-0.0652482039626534
15,0.13866997,0.06192879498695092
16,-0.015708923,0.07749496513559961
17,0.0949173,0.07820557694775232
18,0.020061493,0.02187762518916969
19,0.067401886,0.2586379630503117
20,0.05296898,0.07823614378020594
21,0.15507126,0.15392758202708734
22,0.13140106,0.06985292936829524
23,0.048519135,0.0005242637024913677
24,0.14648819,-0.021056573609548934
25,-0.013963699,0.06405185670399405
26,0.05443573,0.0131411430469619
27,-0.029129028,-0.026485528196129593
28,0.035354614,0.18105199497122015
29,0.5554905,0.18519396585067227
30,0.022916794,0.0944817823719859
31,0.30950356,0.13966251745145541
32,0.19252777,0.12391271346886157
33,0.7400627,0.03350751180784073
34,0.49630928,0.2278947930984252
35,0.09227753,0.20280377738577826
36,0.0070266724,0.07095391191663225
37,0.03930664,0.04349768986236313
38,-0.054632187,0.08997631983384835
39,0.00985527,0.2619299059599882
40,0.008831024,0.12302556863793868
41,0.12704086,-0.039784030622065814
42,0.74655914,0.5961893311837514
43,0.16662788,0.0012752708774961263
44,0.24516869,0.28650590013792154
45,0.07659912,0.056413060177494145
46,0.09109306,0.10278611212829247
47,-0.007724762,0.04580728988980809
48,0.089315414,0.09284414481497194
49,0.1612091,0.31688824756649936
50,0.0018825531,0.08946259447934324
51,0.0036945343,0.059178158109912005
52,0.24603081,-0.04832733947574752
53,0.1329689,0.012982979226077163
54,0.6084385,0.3536563488659574
55,0.17469978,-0.08660831919637246
56,0.1381073,0.05644384899057542
57,0.1294918,0.1665052148354924
58,0.015247345,0.0713273372978378
59,-0.081949234,-0.10730084543715535
60,0.63199234,0.04592138468409246
61,0.07623291,-0.025777218057655205
62,0.23661995,-0.0007094502093671906
63,-0.027057648,0.014592368174852766
64,0.09872818,0.04389408408140838
65,0.1063385,0.031791527600098846
66,-0.07748985,0.25091292204620785
67,0.06453133,0.3226454352822401
68,0.04751587,0.08768771098310779
69,0.026529312,0.1156356043852611
70,0.02816391,-0.0357060578470616
71,0.038845062,0.068121046971239
72,1.0209332,0.143682327596391
73,0.12893105,0.02507125391478837
74,0.16697311,0.10205623744160519
75,0.16395378,0.039220721180406315
76,0.053762436,0.06981010341269211
77,-0.04710388,0.11518403059641003
78,-0.04514122,0.06521666332173126
79,0.017530441,0.1619538484733809
80,0.0027980804,0.10783093840512947
81,0.011869431,-0.010439503666187733
82,-0.003063202,0.0652543951478286
83,0.08936882,0.06086427714843268
84,0.50305176,-0.10731293216301196
85,0.66415405,0.1814557708793174
86,0.033311844,0.03210170514575239
87,0.08597183,0.049247898890314445
89,-0.010215759,-0.06308211831845867
90,0.07010841,0.18088033541509674
91,0.03161049,0.09941961113066711
93,0.31454468,0.229859577134782
94,0.4163437,0.27255401580691085
95,0.016584396,-0.045187011434233426
96,-0.14704323,-0.034819631330936573
97,0.1436081,0.08536825320728525
98,-0.066028595,0.040904612933207574
99,0.027994156,0.05953296628008076
101,-0.00541687,0.06529703878745252
102,-0.05734825,0.060185560274089056
103,0.1032238,0.05193431616453026
104,-0.036008835,0.12758237349923007
105,0.06908417,0.11055707790750091
106,0.10590744,-0.002367451938908971
107,0.0046844482,0.01583920194639532
108,0.22907448,0.11603606622246687
109,0.052000046,-0.11371290056722572
