subject,n,acc,auc,chance_95
1,45,0.5820158102766798,0.6561264822134388,0.6444444444444445
2,45,0.8181818181818181,0.8992094861660078,0.6444444444444445
3,45,0.37055335968379444,0.2865612648221344,0.6444444444444445
4,45,0.5207509881422925,0.7628458498023716,0.6444444444444445
5,45,0.5208333333333334,0.38293650793650796,0.6444444444444445
6,45,0.45238095238095233,0.4623015873015873,0.6444444444444445
7,45,0.8883399209486166,0.9861660079051383,0.6444444444444445
8,45,0.607707509881423,0.6699604743083004,0.6444444444444445
9,45,0.5327380952380952,0.5773809523809523,0.6444444444444445
10,45,0.5,0.5892857142857143,0.6444444444444445
11,45,0.5217391304347826,0.5652173913043479,0.6444444444444445
12,45,0.7291666666666666,0.8095238095238095,0.6444444444444445
13,45,0.8241106719367588,0.9308300395256917,0.6444444444444445
14,45,0.5494071146245059,0.6541501976284585,0.6444444444444445
15,45,0.6294466403162056,0.8774703557312253,0.6444444444444445
16,45,0.5731225296442688,0.6679841897233202,0.6444444444444445
17,45,0.5464426877470356,0.6442687747035574,0.6444444444444445
18,45,0.5009881422924901,0.38537549407114624,0.6444444444444445
19,45,0.6413043478260869,0.7964426877470356,0.6444444444444445
20,45,0.5573122529644269,0.5968379446640316,0.6444444444444445
21,45,0.5505952380952381,0.6011904761904762,0.6444444444444445
22,45,0.5227272727272727,0.5652173913043478,0.6444444444444445
23,45,0.6136363636363636,0.7134387351778656,0.6444444444444445
24,45,0.45256916996047436,0.5830039525691699,0.6444444444444445
25,45,0.5810276679841897,0.6758893280632412,0.6444444444444445
26,45,0.7886904761904763,0.9007936507936507,0.6444444444444445
27,45,0.5839920948616601,0.683794466403162,0.6444444444444445
28,45,0.4051383399209486,0.549407114624506,0.6444444444444445
29,45,0.9782608695652174,1.0,0.6444444444444445
30,45,0.5654761904761905,0.5535714285714286,0.6444444444444445
31,45,0.8656126482213439,0.9644268774703557,0.6444444444444445
32,45,0.7648809523809523,0.9325396825396826,0.6444444444444445
33,45,0.7766798418972332,0.8596837944664032,0.6444444444444445
34,45,0.8601190476190477,0.9702380952380952,0.6444444444444445
35,45,0.6304347826086957,0.8201581027667983,0.6444444444444445
36,45,0.424901185770751,0.46640316205533594,0.6444444444444445
37,45,0.5,0.4822134387351779,0.6444444444444445
38,45,0.6660079051383399,0.6857707509881423,0.6444444444444445
39,45,0.591897233201581,0.5652173913043479,0.6444444444444445
40,45,0.4375,0.509920634920635,0.6444444444444445
41,45,0.8244047619047619,0.867063492063492,0.6444444444444445
42,45,0.7826086956521738,0.9723320158102767,0.6444444444444445
43,45,0.7529644268774703,0.816205533596838,0.6444444444444445
44,45,0.6640316205533596,0.6818181818181818,0.6444444444444445
45,45,0.5494071146245059,0.6857707509881423,0.6444444444444445
46,45,0.5869565217391304,0.741106719367589,0.6444444444444445
47,45,0.4375,0.5138888888888888,0.6444444444444445
48,45,0.7134387351778657,0.6778656126482213,0.6444444444444445
49,45,0.717391304347826,0.9545454545454546,0.6444444444444445
50,45,0.5494071146245059,0.6936758893280632,0.6444444444444445
51,45,0.5744047619047619,0.5456349206349206,0.6444444444444445
52,45,0.8452380952380952,0.867063492063492,0.6444444444444445
53,45,0.5177865612648221,0.5731225296442688,0.6444444444444445
54,45,0.7559288537549407,0.8616600790513834,0.6444444444444445
55,45,0.842885375494071,0.9130434782608696,0.6444444444444445
56,45,0.7549407114624507,0.7924901185770751,0.6444444444444445
57,45,0.5535714285714286,0.6626984126984128,0.6444444444444445
58,45,0.5476190476190476,0.6011904761904762,0.6444444444444445
59,45,0.6071428571428572,0.5833333333333333,0.6444444444444445
60,45,0.7806324110671936,0.9051383399209486,0.6444444444444445
61,45,0.683794466403162,0.8695652173913043,0.6444444444444445
62,45,0.8863636363636364,0.9703557312252965,0.6444444444444445
63,45,0.5602766798418972,0.6126482213438735,0.6444444444444445
64,45,0.6284584980237153,0.7292490118577076,0.6444444444444445
65,45,0.7976190476190477,0.8273809523809523,0.6444444444444445
